ss ss_err os os_err diff diff_err
-0.000517511 0.000109435 0.00145929 0.000107821 0.0019768 0.000153628
-0.000498905 4.00826e-05 0.00047689 3.97803e-05 0.000975796 5.6472e-05
-0.000467938 1.7386e-05 0.00012573 1.73122e-05 0.000593668 2.45354e-05
-0.000349909 8.84071e-06 3.18109e-05 8.81807e-06 0.00038172 1.24866e-05
-0.000236417 5.26987e-06 1.01442e-05 5.26136e-06 0.000246561 7.44671e-06
-0.000154324 3.63319e-06 -1.76003e-05 3.62937e-06 0.000136723 5.13541e-06
-9.14864e-05 2.81573e-06 -2.03352e-05 2.81382e-06 7.11512e-05 3.9807e-06
-6.43395e-05 3.86711e-06 -3.33189e-05 3.86527e-06 3.10206e-05 5.46762e-06
-7.3668e-05 4.54577e-06 -6.94011e-05 4.544e-06 4.26692e-06 6.42744e-06
