ss ss_err os os_err diff diff_err
0.0029008 1.3344e-05 0.00275607 1.31394e-05 -0.00014473 1.87272e-05
0.00129267 6.50392e-06 0.00289486 6.45343e-06 0.0016022 9.1623e-06
0.000477695 3.66474e-06 0.00226389 3.64894e-06 0.0017862 5.17156e-06
0.000117426 2.15908e-06 0.0016105 2.15354e-06 0.00149308 3.04948e-06
-5.11972e-05 1.40175e-06 0.00111785 1.39948e-06 0.00116905 1.98077e-06
-0.000131557 9.43628e-07 0.000775376 9.42594e-07 0.000906932 1.33376e-06
-7.56604e-05 6.57203e-07 0.000553182 6.56677e-07 0.000628842 9.29053e-07
0.000111594 7.15057e-07 0.000522175 7.1456e-07 0.000410581 1.01089e-06
0.000382133 6.25085e-07 0.000617401 6.24658e-07 0.000235268 8.83702e-07
